Energy Loss (eV)	Intensity
1.564375000000000284e+02	1.336958758860241687e+03
1.565000000000000284e+02	1.336746450505650046e+03
1.565625000000000284e+02	1.335429146547013033e+03
1.566250000000000284e+02	1.333854311702807308e+03
1.566875000000000284e+02	1.332671609534439995e+03
1.567500000000000284e+02	1.331792169346757873e+03
1.568125000000000284e+02	1.330764932489068087e+03
1.568750000000000284e+02	1.329554246902333261e+03
1.569375000000000284e+02	1.328606604523507031e+03
1.570000000000000284e+02	1.328555828626094353e+03
1.570625000000000284e+02	1.328890379122632339e+03
1.571250000000000284e+02	1.328850643494899032e+03
1.571875000000000284e+02	1.328274877619352310e+03
1.572500000000000284e+02	1.327653394610970281e+03
1.573125000000000284e+02	1.326833379350402083e+03
1.573750000000000284e+02	1.326008718135023173e+03
1.574375000000000284e+02	1.325733719661079931e+03
1.575000000000000284e+02	1.326167036124272272e+03
1.575625000000000284e+02	1.326431152514578116e+03
1.576250000000000284e+02	1.325892992369716922e+03
1.576875000000000284e+02	1.324770327555576841e+03
1.577500000000000284e+02	1.323764293982326308e+03
1.578125000000000284e+02	1.323084205106597437e+03
1.578750000000000284e+02	1.322519547763302853e+03
1.579375000000000284e+02	1.322069729318514192e+03
1.580000000000000284e+02	1.321908194651969097e+03
1.580625000000000284e+02	1.321691752619352428e+03
