Energy Loss (eV)	Original	Background_fit	Background_subtracted
1.194652921468904765e+02	9.270410156250000000e+02	8.857070137251303095e+02	4.133400189986969053e+01
1.195902921468904765e+02	9.273242187500000000e+02	8.822107106471368070e+02	4.511350810286319302e+01
1.197152921468904765e+02	9.098417968750000000e+02	8.787318400757437757e+02	3.110995679925622426e+01
1.198402921468904765e+02	9.012031250000000000e+02	8.752702970266411739e+02	2.593282797335882606e+01
1.199652921468904765e+02	9.028242187500000000e+02	8.718259772563420711e+02	3.099824149365792891e+01
1.200902921468904765e+02	8.912597656250000000e+02	8.683987772561921474e+02	2.286098836880785257e+01
1.202152921468904765e+02	8.928417968750000000e+02	8.649885942464306936e+02	2.785320262856930640e+01
1.203402921468904765e+02	8.892148437500000000e+02	8.615953261703077715e+02	2.761951757969222854e+01
1.204652921468904765e+02	8.778398437500000000e+02	8.582188716882544668e+02	1.962097206174553321e+01
1.205902921468904765e+02	8.823632812500000000e+02	8.548591301721055515e+02	2.750415107789444846e+01
1.207152921468904765e+02	8.880605468750000000e+02	8.515160016993751242e+02	3.654454517562487581e+01
